バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,22DUNK,TECHNO,SLAKE,0,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,1,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,deep in you,DANCE POP,dj nagureo,0,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,HARD CLEAR,---,5,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
1st&substream,GAMBOL,BIG BEAT,SLAKE,0,1,0,0,0,---,FULLCOMBO CLEAR,---,1,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2018-11-24 08:28
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
7th style,Tomorrow Perfume,TRANCE,dj TAKA,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
7th style,traces,TRANCE,TaQ,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
7th style,ZERO-ONE,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
7th style,革命,ORCHESTRAL,dj TAKA with NAOKI,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
8th style,abstract,BIG BEAT,TaQ,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
8th style,airflow,INSTRUMENTAL,Mr.T,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,7,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
8th style,Attitude,TRANCE,Y&Co.,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,EASY CLEAR,---,9,1706,826,54,0,FULLCOMBO CLEAR,AAA,2018-12-15 08:28
8th style,bit mania,テクノ歌謡,AKIRA YAMAOKA,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,FULLCOMBO CLEAR,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
9th style,SWEETEST SAVAGE,HIP HOP,ASLETICS,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
9th style,ライオン好き,ボデー,AKIRA YAMAOKA,0,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,HARD CLEAR,---,7,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
9th style,真夏の花・真夏の夢,HOUSE,Sana,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
10th style,1st Samurai,お江戸テクノ,sampling masters MEGA,0,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,CLEAR,---,11,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
10th style,ALIEN TEMPLE,PSYCHEDELIC TRANCE,PINK PONG,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
10th style,ASTRAL VOYAGE,DREAM TECHNO,EeL,1,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,FULLCOMBO CLEAR,---,9,1816,857,102,11,FULLCOMBO CLEAR,AAA,2018-12-09 10:11
10th style,BABY LOVE,ITALO POP,Noria,0,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
SIRIUS,サヨナラ・ヘヴン,WORLD/ELECTRONICA,猫叉Master,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1653,799,55,2,FULLCOMBO CLEAR,AAA,2018-12-22 12:30
SIRIUS,バビロニア,DISTORTED NEW AGE,劇団レコード,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
SIRIUS,ワルツ第17番 ト短調”大犬のワルツ”,VALSE,virkato,2,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3041,1407,227,16,HARD CLEAR,AAA,2018-12-15 10:04
SIRIUS,未来のプリズム,STARPOP,星野奏子,1,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1719,827,65,3,HARD CLEAR,AAA,2018-12-22 15:24
SIRIUS,水上の提督(Short mix from "幻想水滸伝V"),WORLD/ELECTRONICA,猫叉Master,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
Resort Anthem,Aegis,TECHNO,IT medalion,0,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
Resort Anthem,ALBIDA,HARD RENAISSANCE,DJ YOSHITAKA,0,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
Resort Anthem,Answer,STARPOP,星野奏子,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
Resort Anthem,ANTHEM LANDING,LATIN TEK,DJムラサメ,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2924,1446,32,6,FULLCOMBO CLEAR,AAA,2018-12-22 15:41
CANNON BALLERS,Initiation,00's TECHNO,BEMANI Sound Team "謎の勢力",3,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3588,1652,284,40,HARD CLEAR,AAA,2018-12-09 12:40
CANNON BALLERS,シムルグの目醒め,NATURE,BEMANI Sound Team "DJ TOTTO" feat.rionos,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3038,1358,322,67,ASSIST CLEAR,AA,2018-12-15 14:50
CANNON BALLERS,ハイ*ビスカス ft. Kanae Asaba,YANKEE CAR J TRANCE,Xceon,3,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2419,1186,47,1,FULLCOMBO CLEAR,AAA,2018-12-22 11:32
CANNON BALLERS,バ→ビ→ブ→Bomb!,電波ソング,ヒゲドライバー join. 新菜まこ & 松平なな,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2452,1176,100,11,HARD CLEAR,AAA,2018-12-22 12:23
CANNON BALLERS,ラストセンチュリーメランコリック,FUTURE J-POP,DJ Taku aka ☆Taku Takahashi (m-flo),0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
CANNON BALLERS,命の標本,STRANGE WORLD MUSIC,志方あきこ,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
CANNON BALLERS,東京神話,ORBITALIC GABBER STEP,DJ TECHNORCH feat.宇宙★海月 vs BEMANI Sound Team "U1-ASAMi",2,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2572,1160,252,35,ASSIST CLEAR,AA,2018-12-15 13:11
CANNON BALLERS,神謳 -RESONANCE-,Hi-MYTH,SOUND HOLIC feat. Nana Takahashi Vs.GOD PHOENIX Prim,0,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
