バージョン,タイトル,NORMALDEZIST海外729 EXスコア,NORMALDEZIST海外729 DJName,NORMALDEZIST海外729 都道府県,HYPER!EKIPS海外1004 EXスコア,HYPER!EKIPS海外1004 DJName,HYPER!EKIPS海外1004 都道府県,ANOTHERRED*海外1109 EXスコア,ANOTHERRED*海外1109 DJName,ANOTHERRED*海外1109 都道府県
1st&substream,THE EARTH LIGHT,,,,,,,,,
1st&substream,RUGGED ASH,,,,,,,,,
1st&substream,R3,,,,,,,,,
1st&substream,PARANOIA MAX～DIRTY MIX～,,,,,,,,,
1st&substream,Macho Gang,,,,,,,,,
1st&substream,KEEP ON MOVIN',,,,,,,,,
1st&substream,GRADIUSIC CYBER,,,,,,,,,
1st&substream,GENOM SCREAMS,,,,,,,,,
1st&substream,GAMBOL,,,,,,,,,
1st&substream,Dr.LOVE,,,,,,,,,
1st&substream,deep in you,,,,,,,,,
1st&substream,BRILLIANT 2U,,,,,,,,,
1st&substream,5.1.1.,,,,,,,,,
1st&substream,22DUNK,,,,,,,,,
2nd style,SP-TRIP MACHINE(for beatmania II),,,,,,,,,
2nd style,PUT YOUR FAITH IN ME(for beatmania II),,,,,,,,,
2nd style,Indigo Vision(full flavour hide around mix),,,,,,,,,
2nd style,I Was The One,,,,,,,,,
2nd style,Electro Tuned(the SubS mix),,,,,,,,,
2nd style,Digital MinD(A/T Libra mix),,,,,,,,,
2nd style,Dancin' Into The Night,,,,,,,,,
2nd style,.59,,,,,,,,,
3rd style,THE SAFARI,,,,,,,,,
3rd style,Tangerine Stream,,,,,,,,,
3rd style,Skyscraper,,,,,,,,,
3rd style,Schlagwerk,,,,,,,,,
3rd style,REINCARNATION,,,,,,,,,
3rd style,R5,,,,,,,,,
3rd style,Presto,,,,,,,,,
3rd style,LEADING CYBER,,,,,,,,,
3rd style,Holic,,,,,,,,,
3rd style,era (nostalmix),,,,,,,,,
3rd style,Don't Stop!,,,,,,,,,
3rd style,CAN'T STOP FALLIN'IN LOVE,,,,,,,,,
4th style,Voltage (feat. Hidemaru),,,,,,,,,
4th style,ULTRA HIGH-HEELS,,,,,,,,,
4th style,SWEET LAB,,,,,,,,,
4th style,starmine,,,,,,,,,
4th style,Nasty!,,,,,,,,,
4th style,Mr.T.(take me higher),,,,,,,,,
4th style,minimalian,,,,,,,,,
4th style,LOVE WILL・・・,,,,,,,,,
4th style,KAMIKAZE,,,,,,,,,
4th style,Jam&Marmalade,,,,,,,,,
4th style,Hitch Hiker2,,,,,,,,,
4th style,HIGHER,,,,,,,,,
4th style,FLOWERS for ALBION,,,,,,,,,
4th style,era (step mix),,,,,,,,,
4th style,empathy,,,,,,,,,
4th style,DXY!,,,,,,,,,
4th style,Clione†,,,,,,,,,
4th style,Clione,,,,,,,,,
4th style,CHECKING YOU OUT,,,,,,,,,
4th style,Burnin' The Floor,,,,,,,,,
4th style,Broken My Heart,,,,,,,,,
4th style,B4U,,,,,,,,,
4th style,ABSOLUTE,,,,,,,,,
4th style,250bpm,,,,,,,,,
5th style,V,,,,,,,,,
5th style,THE SHINING POLARIS,,,,,,,,,
5th style,THE CUBE,,,,,,,,,
5th style,sync,,,,,,,,,
5th style,still my words,,,,,,,,,
5th style,STILL IN MY HEART,,,,,,,,,
5th style,Spin the disc,,,,,,,,,
5th style,RISLIM,,,,,,,,,
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,,,,,,,,,
5th style,RIDE ON THE LIGHT (HI GREAT MIX),,,,,,,,,
5th style,Regulus,,,,,,,,,
5th style,Real,,,,,,,,,
5th style,Radical Faith,,,,,,,,,
5th style,QQQ,,,,,,,,,
5th style,outer wall,,,,,,,,,
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,,,,,,,,,
5th style,Kiss me all night long,,,,,,,,,
5th style,in my eyes,,,,,,,,,
5th style,Abyss,,,,,,,,,
6th style,電人イェーガーのテーマ(Theme of DENJIN J),,,,,,,,,
6th style,こっちを向いてよ,,,,,,,,,
6th style,Take It Easy,,,,,,,,,
6th style,Summer Vacation(CU mix),,,,,,,,,
6th style,SOMETHING WONDERFUL,,,,,,,,,
6th style,route 80s,,,,,,,,,
6th style,rottel-da-sun,,,,,,,,,
6th style,NEMESIS,,,,,,,,,
6th style,Linus,,,,,,,,,
6th style,G2,,,,,,,,,
6th style,Frozen Ray (original mix),,,,,,,,,
6th style,Free Style,,,,,,,,,
6th style,fly through the night,,,,,,,,,
6th style,DIVE ～INTO YOUR HEART～,,,,,,,,,
6th style,Colors (radio edit),,,,,,,,,
6th style,Buffalo,,,,,,,,,
6th style,Blueberry Stream,,,,,,,,,
6th style,BALLAD FOR YOU～想いの雨～,,,,,,,,,
6th style,"19,November",,,,,,,,,
7th style,革命,,,,,,,,,
7th style,ZERO-ONE,,,,,,,,,
7th style,traces,,,,,,,,,
7th style,Tomorrow Perfume,,,,,,,,,
7th style,stoic,,,,,,,,,
7th style,Spica,,,,,,,,,
7th style,MAX 300,,,,,,,,,
7th style,Marmalade Reverie,,,,,,,,,
7th style,Love Me Do,,,,,,,,,
7th style,Let the Snow Paint Me,,,,,,,,,
7th style,Last Message,,,,,,,,,
7th style,Happy Wedding,,,,,,,,,
7th style,Glorious Days,,,,,,,,,
7th style,foreplay,,,,,,,,,
7th style,DESTINY,,,,,,,,,
7th style,D2R,,,,,,,,,
7th style,Cheer Train,,,,,,,,,
7th style,Burning Heat! (Full Option Mix),,,,,,,,,
7th style,Bad Routine,,,,,,,,,
7th style,AVE DE RAPINA,,,,,,,,,
7th style,A,,,,,,,,,
8th style,蒼い衝動,,,,,,,,,
8th style,桜,,,,,,,,,
8th style,合体せよ！ストロングイェーガー！！,,,,,,,,,
8th style,xenon,,,,,,,,,
8th style,World Wide Love,,,,,,,,,
8th style,WAR GAME,,,,,,,,,
8th style,thunder,,,,,,,,,
8th style,symbolic,,,,,,,,,
8th style,STAR DREAM,,,,,,,,,
8th style,rainbow flyer,,,,,,,,,
8th style,PLEASE DON'T GO,,,,,,,,,
8th style,MUSIC TO YOUR HEAD,,,,,,,,,
8th style,murmur twins,,,,,,,,,
8th style,Monkey Dance,,,,,,,,,
8th style,memories,,,,,,,,,
8th style,Luv 2 Feel Your Body,,,,,,,,,
8th style,LOVE IS ORANGE,,,,,,,,,
8th style,LAB,,,,,,,,,
8th style,Hormiga obrera,,,,,,,,,
8th style,Halfway of promise,,,,,,,,,
8th style,Giudecca,,,,,,,,,
8th style,dual control,,,,,,,,,
8th style,Colors -Y&Co. Eurobeat Remix-,,,,,,,,,
8th style,CELEBRATE NITE,,,,,,,,,
8th style,Blame,,,,,,,,,
8th style,bit mania,,,,,,,,,
8th style,Attitude,,,,,,,,,
8th style,ALL RIGHT,,,,,,,,,
8th style,airflow,,,,,,,,,
8th style,abstract,,,,,,,,,
9th style,真夏の花・真夏の夢,,,,,,,,,
9th style,ライオン好き,,,,,,,,,
9th style,SWEETEST SAVAGE,,,,,,,,,
9th style,Sweet Sweet Magic,,,,,,,,,
9th style,STAR FIELD,,,,,,,,,
9th style,SNOW,,,,,,,,,
9th style,Silvia Drive,,,,,,,,,
9th style,rottel-the-Mercury,,,,,,,,,
9th style,RISLIM -Remix-,,,,,,,,,
9th style,Really Love,,,,,,,,,
9th style,Quickening,,,,,,,,,
9th style,quasar,,,,,,,,,
9th style,POWER DREAM,,,,,,,,,
9th style,one or eight,,,,,,,,,
9th style,moon_child,,,,,,,,,
9th style,MARIA (I believe... ),,,,,,,,,
9th style,Make A Difference,,,,,,,,,
9th style,lower world,,,,,,,,,
9th style,LOVE SHINE,,,,,,,,,
9th style,lights,,,,,,,,,
9th style,Let The Snow Paint Me -Y&Co. Remix-,,,,,,,,,
9th style,Karma,,,,,,,,,
9th style,I Was The One (80's EUROBEAT STYLE),,,,,,,,,
9th style,HYPER EUROBEAT (2DX style),,,,,,,,,
9th style,Golden Horn,,,,,,,,,
9th style,ECHOES,,,,,,,,,
9th style,e-motion 2003 -romantic extra-,,,,,,,,,
9th style,Distress,,,,,,,,,
9th style,Cradle,,,,,,,,,
9th style,BRIGHTNESS DARKNESS,,,,,,,,,
9th style,bag,,,,,,,,,
9th style,BAD BOY BASS!! (dj Remo-con MIX),,,,,,,,,
9th style,ACT,,,,,,,,,
9th style,Abyss -The Heavens Remix-,,,,,,,,,
10th style,雪月花,,,,,,,,,
10th style,システムロマンス,,,,,,,,,
10th style,SPACE FIGHT,,,,,,,,,
10th style,SHOOTING STAR,,,,,,,,,
10th style,Rise'n Beauty,,,,,,,,,
10th style,Ready To Rockit Blues,,,,,,,,,
10th style,rainbow rainbow,,,,,,,,,
10th style,pandora,,,,,,,,,
10th style,One More Lovely,,,,,,,,,
10th style,No.13,,,,,,,,,
10th style,Narcissus At Oasis,,,,,,,,,
10th style,Lucy,,,,,,,,,
10th style,LOW,,,,,,,,,
10th style,Love Is Eternity,,,,,,,,,
10th style,Innocent Walls,,,,,,,,,
10th style,HIGH,,,,,,,,,
10th style,GRADIUS -FULL SPEED-,,,,,,,,,
10th style,GHOST REVIVAL,,,,,,,,,
10th style,Freezing atmosphere,,,,,,,,,
10th style,FEEL IT,,,,,,,,,
10th style,Feedback,,,,,,,,,
10th style,EXE,,,,,,,,,
10th style,DoLL,,,,,,,,,
10th style,desolation,,,,,,,,,
10th style,Debtty Daddy,,,,,,,,,
10th style,Daisuke,,,,,,,,,
10th style,CARRY ON NIGHT (English version),,,,,,,,,
10th style,Boundary,,,,,,,,,
10th style,Back Into The Light,,,,,,,,,
10th style,BABY LOVE,,,,,,,,,
10th style,ASTRAL VOYAGE,,,,,,,,,
10th style,ALIEN TEMPLE,,,,,,,,,
10th style,1st Samurai,,,,,,,,,
IIDX RED,ＵＬＴｉＭΛＴＥ,,,,,,,,,
IIDX RED,太陽～T・A・I・Y・O～,,,,,,,,,
IIDX RED,大桟橋,,,,,,,,,
IIDX RED,ピアノ協奏曲第１番”蠍火”,,,,,,,,,
IIDX RED,Wonder Bullfighter,,,,,,,,,
IIDX RED,The Hope of Tomorrow,,,,,,,,,
IIDX RED,spiral galaxy,,,,,,,,,
IIDX RED,Sphere,,,,,,,,,
IIDX RED,SPEEDY CAT,,,,,,,,,
IIDX RED,Secret of Love,,,,,,,,,
IIDX RED,RESONATE 1794,,,,,,,,,
IIDX RED,RED ZONE,,,,,,,,,
IIDX RED,Raspberry Heart(English version),,,,,,,,,
IIDX RED,NEBULA GRASPER,,,,,,,,,
IIDX RED,KEY,,,,,,,,,
IIDX RED,INJECTION OF LOVE,,,,,,,,,
IIDX RED,HORIZON,,,,,,,,,
IIDX RED,gigadelic,,,,,,,,,
IIDX RED,GENOCIDE,,,,,,,,,
IIDX RED,Fly Away To India,,,,,,,,,
IIDX RED,FAKE TIME,,,,,,,,,
IIDX RED,earth scape,,,,,,,,,
IIDX RED,Don't be afraid myself,,,,,,,,,
IIDX RED,D.A.N.C.E.!,,,,,,,,,
IIDX RED,Close my Eyes for Me,,,,,,,,,
IIDX RED,Click Again,,,,,,,,,
IIDX RED,BREATH,,,,,,,,,
IIDX RED,BLOCKS,,,,,,,,,
IIDX RED,Be quiet,,,,,,,,,
IIDX RED,awakening,,,,,,,,,
IIDX RED,ANDROMEDA,,,,,,,,,
IIDX RED,AGEHA,,,,,,,,,
IIDX RED,AA,,,,,,,,,
HAPPY SKY,月光,,,,,,,,,
HAPPY SKY,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),,,,,,,,,
HAPPY SKY,冥,,,,,,,,,
HAPPY SKY,ラクエン,,,,,,,,,
HAPPY SKY,ヒマワリ,,,,,,,,,
HAPPY SKY,オレはビートマニア！お前は何マニア？,,,,,,,,,
HAPPY SKY,Xepher,,,,,,,,,
HAPPY SKY,We are Disっ娘よっつ打ち命,,,,,,,,,
HAPPY SKY,Votum stellarum,,,,,,,,,
HAPPY SKY,vault of heaven,,,,,,,,,
HAPPY SKY,Under the Sky,,,,,,,,,
HAPPY SKY,Twelfth Style,,,,,,,,,
HAPPY SKY,Tizona d'El Cid,,,,,,,,,
HAPPY SKY,SigSig,,,,,,,,,
HAPPY SKY,Scripted Connection⇒ N mix,,,,,,,,,
HAPPY SKY,Scripted Connection⇒ H mix,,,,,,,,,
HAPPY SKY,Scripted Connection⇒ A mix,,,,,,,,,
HAPPY SKY,SCREAM SQUAD,,,,,,,,,
HAPPY SKY,rage against usual,,,,,,,,,
HAPPY SKY,POODLE,,,,,,,,,
HAPPY SKY,Pollinosis,,,,,,,,,
HAPPY SKY,PLASMA,,,,,,,,,
HAPPY SKY,Pink Rose,,,,,,,,,
HAPPY SKY,MOON RACE,,,,,,,,,
HAPPY SKY,Love Magic,,,,,,,,,
HAPPY SKY,Little Little Princess,,,,,,,,,
